target_label,target_hazardous,event_type,event_type_label,mq_class,year_full,day_of_year,date,start_time,stop_time,start_hour,duration_min,event_continues,lunar_phase,years_since_start,quarter,amp_s12,amp_s14,amp_s15,amp_s16,log_amp_s12,log_amp_s14,log_amp_s15,log_amp_s16,amp_mean,amp_max,amp_min,amp_std,amp_range,amp_sum,log_amp_mean,station_count,amp_ratio_12_14,amp_ratio_12_15,amp_ratio_12_16,amp_ratio_14_15,amp_ratio_14_16,amp_ratio_15_16,dm_arr_12P,dm_arr_14P,dm_arr_15P,dm_arr_16P,dm_arr_12S,dm_arr_14S,dm_arr_15S,dm_arr_16S,p_arr_mean,p_arr_std,s_arr_mean,s_arr_std,sp_delay_s12,sp_delay_s14,sp_delay_s15,sp_delay_s16,sp_delay_mean,sp_delay_std,sp_delay_max,p_arr_spread,s_arr_spread,p_station_count,s_station_count,qual_s12,qual_s14,qual_s15,qual_s16,qual_mean,qual_max,stations_no_data,stations_noisy,stations_good,data_completeness,seismo_available_count,waveform_component_count,h_v_ratio,dm_lat,dm_lon,dm_depth_km,dm_lat_err,dm_lon_err,dm_depth_err_km,dm_abs_lat,dm_abs_lon,location_uncertainty,dm_hemisphere_flag,dm_location_assumed_flag,sm_lat,sm_lon,sm_magnitude,12LPX,12LPY,12LPZ,14SPZ,14LPX,14LPY,14LPZ,15SPZ,15LPX,15LPY,15LPZ,16SPZ,16LPX,16LPY,16LPZ,grade,comments,traces,event_type_2004,mq_class_2004
1.0,1,M,Deep Moonquake (unclassified),,1969,208,1969-07-27,2348,0040,23.8,52.0,0,1.29,0,3,3.1,,,,1.410986973710262,,,,3.1,3.1,3.1,,0.0,3.1,1.410986973710262,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMLPITUDE,,M,
2.0,0,C,Meteoroid Impact,,1969,209,1969-07-28,1146,1215,11.77,29.0,0,2.29,0,3,1.8,,,,1.0296194171811583,,,,1.8,1.8,1.8,,0.0,1.8,1.0296194171811583,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMPLITUDE,,C,
0.0,1,A,Deep Moonquake (classified),0,1969,209,1969-07-28,1349,1430,13.82,41.0,0,2.29,0,3,3.7,,,,1.547562508716013,,,,3.7,3.7,3.7,,0.0,3.7,1.547562508716013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMPLITUDE  SP,,A,0
2.0,0,C,Meteoroid Impact,,1969,210,1969-07-29,1318,1415,13.3,57.0,0,3.29,0,3,1.9,,,,1.0647107369924282,,,,1.9,1.9,1.9,,0.0,1.9,1.0647107369924282,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMPLITUDE,,C,
2.0,0,C,Meteoroid Impact,,1969,214,1969-08-02,1720,1810,17.33,50.0,0,7.29,0,3,1.9,,,,1.0647107369924282,,,,1.9,1.9,1.9,,0.0,1.9,1.0647107369924282,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMPLITUDE,,C,
2.0,0,C,Meteoroid Impact,,1969,233,1969-08-21,1858,2000,18.97,62.0,0,26.29,0,3,5.0,,,,1.791759469228055,,,,5.0,5.0,5.0,,0.0,5.0,1.791759469228055,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMPLITUDE,,C,
,0,,,,1969,235,1969-08-23,0009,0045,0.15,36.0,0,28.29,0,3,1.6,,,,0.9555114450274363,,,,1.6,1.6,1.6,,0.0,1.6,0.9555114450274363,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMPLITUDE,,,
1.0,1,M,Deep Moonquake (unclassified),,1969,236,1969-08-24,0618,0720,6.3,62.0,0,29.29,0,3,5.1,,,,1.8082887711792655,,,,5.1,5.1,5.1,,0.0,5.1,1.8082887711792655,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMPLITUDE,,M,
0.0,1,A,Deep Moonquake (classified),0,1969,237,1969-08-25,0030,0115,0.5,45.0,0,0.76,0,3,4.0,,,,1.6094379124341003,,,,4.0,4.0,4.0,,0.0,4.0,1.6094379124341003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,11Z AMPLITUDE  SP,,A,0
5.0,0,L,LM Impact,,1969,324,1969-11-20,2217,2322,22.28,65.0,0,28.7,0,4,30.0,,,,3.4339872044851463,,,,30.0,30.0,30.0,,0.0,30.0,3.4339872044851463,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.0,,,,5.0,5.0,0,0,3,1.0,1,3,1.0,,,,,,,,,,0,0,,,,,1.0,1.0,1.0,,,,,,,,,,,,A,12 LM IMP,3,L,
